性質,資源彙整機關,辦理單位,成立日期,立案文號,負責人,連絡電話,傳真,電子郵件,地址,核定收容人數,收容對象_安養,收容對象_養護,收容對象_長照,收容對象_日照,收容對象_失智,收容對象_遊民,收容對象_其他,相關網址,X坐標,Y坐標,備註,最後更新時間
私立,桃園市政府,桃園市私立長安老人長期照顧中心(養護型),20000629,,邱創權,(03)3758059,,,桃園市桃園區延平路42號2樓,20,0,20,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立建元老人長期照顧中心(養護型),20000817,,劉張秀蓮,(03)3631755,,,桃園市桃園區大豐路56號1-2樓、60、62號1樓,38,0,38,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立逸園老人長期照顧中心(養護型),20111214,,曾明智,(03)3319523,,,桃園市桃園區民富五街5、7號1、2樓、5之2號3樓,48,0,48,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立慈家老人長期照顧中心(養護型),20010827,,蕭陳阿琴,(03)3331155,,,桃園市桃園區新生路165號6樓之1,40,0,40,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立慈庭老人長期照顧中心(長期照護型),20011017,,蕭陳阿琴,(03)3319379,,,桃園市桃園區新生路165號6樓之2,27,0,27,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立逸慈老人長期照顧中心(養護型) ,20020304,,李如雅,(03)3015051,,,桃園市桃園區寶慶路201號,49,3,46,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立台大老人長期照顧中心(養護型),20020625,,鄭淑卿,(03)3555036,,,桃園市桃園區經國路242號4樓,30,0,30,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立慈安老人長期照顧中心(養護型),20140520,,鄭美玲,(03)3609856,,,桃園市桃園區中山路956巷93號1樓,27,0,27,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立康全老人長期照顧中心(養護型),20070122,,許寶全,(03)3615577,,,桃園市桃園區樹林四街26號1、2樓(B1),38,0,38,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立家悅老人長期照顧中心(養護型),20070207,,周東耀,(03)3342139,,,桃園市桃園區新生路165號5樓之2,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立康益老人長期照顧中心(養護型),20161019,,周哲輝,(03)3347259,,,桃園市桃園區新生路165號5樓之1,21,0,21,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立陽光老人長期照顧中心(養護型),20140304,,蕭淑惠,(03)3618728,,,桃園市桃園區國際路一段264號1樓,15,0,15,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立同安老人長期照顧中心(養護型),20110527,,曾國銘,(03)3552546,,,桃園市桃園區新埔七街101號1樓,40,0,40,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立宜家老人長期照顧中心(養護型),20120229,,陳芷晴,(03)3568881,,,桃園市桃園區經國路242號2樓,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立康健老人長期照顧中心(養護型),20120221,,許松峰,(03)2552638,,,桃園市桃園區新埔七街101號2、3樓,48,0,48,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立吉安老人長期照顧中心(養護型),20140812,,趙玉華,(03)3345631,,,桃園市桃園區朝陽街二段26、28號,34,0,34,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立恩澤老人長期照顧中心(養護型),20151123,,李靜怡,(03)3333636,,,桃園市桃園區中央街26號1樓,41,0,41,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立陽光空氣水老人長期照顧中心(養護型),20160126,,盧國裕,(03)3588966,,,桃園市桃園區中正路720之7號8樓,48,0,48,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立民享老人長期照顧中心(養護型),20170711,,黃靜如,(03)3350800,,,桃園市桃園區民生路290號,39,0,39,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立禾安老人長期照顧中心(養護型),20170907,,王世舜,(03)3329899,,,桃園市桃園區武陵里9鄰朝陽街2段26、28號2樓,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立莊敬園老人長期照顧中心(養護型),20170907,,沈思叡,(03)3250813,,,桃園市桃園區莊敬路1段375號3樓,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立慈恩老人長期照顧中心(養護型),20000129,,廖千惠,(03)4558858,,,桃園市中壢區自立里自立三街二巷16、18號(1-3F),28,0,28,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立長祐老人長期照顧中心(養護型),20060328,,沈益平,(03)4356337,,,桃園市中壢區環中東路188號、190號2樓,46,0,46,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立東陽老人長期照顧中心(養護型),19991026,,簡麗玉,(03)2850571,,,桃園市中壢區內壢興仁路二段152之2號,48,0,48,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立真愛華園老人長期照顧中心(養護型),20141113,,許淳雅,(03)4258367,,,桃園市中壢區新生路65號6樓之2,42,0,42,0,0,0,0,0,,,,,20181011
私立,桃園市政府,財團法人桃園市私立甡光社會福利基金會附設桃園市私立甡光老人長期照顧中心(養護型),20020610,,楊牡真,(03)4643380,,,桃園市平鎮區南平路二段516巷99號(1-3F),196,0,196,0,0,0,0,0,,,,,20181011
私立,桃園市政府,財團法人桃園市私立國宏老人長期照顧中心(養護型),20020617,,吳黃玉英,(03)4582977,,,桃園市平鎮區北貴里20鄰關爺東路19-5號(1-2F、B1),93,0,93,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立瑞生老人長期照顧中心(養護型),20080729,,陳瑞玉,(03)4502966,,,桃園市平鎮區金陵路五段32之1號.32之2號(1-2F),42,0,24,18,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立平鎮老人長期照顧中心(養護型),20170126,,陳富爾,(03)4398361,,,桃園市平鎮區平南里35鄰開封街77號,42,0,42,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立八德老人長期照顧中心(養護型),20041228,,王清明,(03)2182128,,,桃園市八德區大智里介壽路一段758巷8號,40,0,27,13,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立明新老人長期照顧中心(養護型),20140701,,陸欣宜,(03)4314349,,,桃園市楊梅區裕成南路313號、315號1樓,13,0,13,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立富佑老人長期照顧中心(養護型),20140221,,鄭玉蓮,(03)4721972,,,桃園市楊梅區富豐南路418號,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立雲鵬老人長期照顧中心(養護型),20150424,,李鈺堂,(03)4881300,,,桃園市楊梅區中山北路一段319號,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立眾生老人長期照顧中心(養護型),20140612,,徐芬,(03)3887167,,,桃園市大溪區福安里順和路65號,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立大溪老人長期照顧中心(養護型),20150921,,王鐶潤,(03)3870119,,,桃園市大溪區慈湖路85號4樓,43,0,43,0,0,0,0,0,,,,,20181011
公設民營,桃園市政府,桃園市蘆竹區老人長期照顧中心(養護型),20090222,,古梓龍,(03)3245369,,,桃園市蘆竹區山腳里5鄰黃帝街168號,200,0,200,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立台北老人長期照顧中心(養護型),20020612,,張永當,(03)3246538,,,桃園市蘆竹區坑子里13鄰八德一路263號,46,0,46,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立友愛老人長期照顧中心(養護型),20000713,,游?妹,(03)3027510,,,桃園市蘆竹區新興街273巷63號、65號1樓,47,0,47,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立馨禾老人長期照顧中心(養護型),20141007,,儲喻如,(03)3782533,,,桃園市蘆竹區文中路一段108號,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立大園老人長期照顧中心(養護型),20010620,,李應發,(03)3864499,,,桃園市大園區圳頭里6鄰圳頭路342號,44,0,44,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立長青老人長期照顧中心(養護型),20070821,,黃漢清,(03)3861559,,,桃園市大園區田心里華興路1段81號,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立祥安老人長期照顧中心(養護型),20000410,,黃日華,(03)3975862,,,桃園市龜山區文化三路78巷30弄26號,46,6,40,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立慈慧老人長期照顧中心(養護型),20000629,,鍾鳳連,(03)3194922,,,桃園市龜山區萬壽路二段345號,19,0,19,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立愈健老人長期照顧中心(養護型),20010903,,陳敬吾,(03)3181946,,,桃園市龜山區大湖里文三三街5巷5號,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立吳木同老人長期照顧中心(養護型),20020703,,吳孟育,(03)3161021,,,桃園市龜山區大坑里17鄰陳厝坑路395號,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立松林老人長期照顧中心(長期照護型),20040419,,黃興富,(03)3288158,,,桃園市龜山區復興北路6巷42號,46,0,46,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立友緣老人長期照顧中心(養護型),20080925,,陳彥榕,(03)3195969,,,桃園市龜山區萬壽路2段345號3樓,39,0,39,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立宥恩老人長期照顧中心(養護型),20161014,,陳勝烽,(03)3191665,,,桃園市龜山區萬壽路2段343號3樓,31,0,31,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立真愛老人長期照顧中心(養護型),20090403,,許亨任,02-82000148,,,桃園市龜山區萬壽路一段163號3樓之1、之2,32,0,32,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立恩典老人長期照顧中心(養護型),20121217,,李政勳,(03)3498111,,,桃園市龜山區萬壽路二段956號2、3樓,20,0,20,0,0,0,0,0,,,,,20181011
私立,桃園市政府,財團法人桃園市私立怡德老人長期照顧中心(養護型),20041015,,林建志,(03)4092468,,,桃園市龍潭區中正路三林段619巷105號(1-4F、B1),200,0,142,58,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立佳心老人長期照顧中心(養護型),19991105,,麥樹妹,(03)4995577,,,桃園市龍潭區中興路211巷30號(1-3F),42,5,29,8,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立厚德老人長期照顧中心(養護型),20150911,,謝德芳,(03)4718866,,,桃園市龍潭區高原里高原路239號(1-2F),49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立龍祥老人長期照顧中心(長期照護型),20111213,,賴庭槐,(03)4719302,,,桃園市龍潭區高平里高楊南路97-1號1F,42,0,42,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立慈航老人長期照顧中心(養護型),20030223,,翁廷升,(03)4097532,,,桃園市龍潭區富林里中正路三林段619巷3號(1-2F),43,0,23,20,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立庭園老人長期照顧中心(養護型),20080324,,劉豈賓,(03)4991812,,,桃園市龍潭區南龍路42號1F,36,0,24,12,0,0,0,0,,,,,20181011
私立,桃園市政府,財團法人桃園市私立佳安老人長期照顧中心(養護型),20120217,,吳有成,(03)4111111,,,桃園市龍潭區佳安西路4巷101號(1-6F),124,0,124,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立愛心老人長期照顧中心(養護型),20130507,,鍾朝鱗,(03)4990650,,,桃園市龍潭區龍元路45號1樓,22,0,22,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立慈園老人長期照顧中心(養護型),20151109,,黃翊慈,(03)4700766,,,桃園市龍潭區武中路558號,43,0,43,0,0,0,0,0,,,,,20181011
私立,桃園市政府,財團法人天下為公社會福利基金會附設桃園市私立龍潭老人長期照顧中心(養護型),20160718,,胡世賢,(03)4116889,,,桃園市龍潭區高原里8鄰南坑路3-5號1-4樓,143,0,143,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立欣園老人長期照顧中心(養護型),20080124,,李富森,(03)4207286,,,桃園市新屋區頭洲里梅高路三段八號1F-2F,31,0,31,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立龍德老人長期照顧中心(養護型),20090423,,林淑虹,(03)4970361,,,桃園市新屋區三民路265巷68號1F,46,0,46,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立祐康老人長期照顧中心(養護型),20100226,,吳林美妹,(03)4768663,,,桃園市新屋區深圳里4鄰文化路一段823巷29號1F,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立博愛老人長期照顧中心(養護型),20170112,,江忠礎,(03)4775570,,,桃園市新屋區東明里上庄子5之5號,48,0,48,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立友德老人長期照顧中心(養護型),20171102,,楊金璇,(03)3029320,,,桃園市蘆竹區新興街273巷63、65號2樓,49,0,49,0,0,0,0,0,,,,,20181011
私立,桃園市政府,桃園市私立少同老人長期照顧中心(養護型),20180911,,葉秀敏,(03)4081905,,,桃園市中壢區中正路四段594號8樓、596號8、9樓,48,0,48,0,0,0,0,0,,,,,20181011
